country,iso3,index,ia4c1,ia4c4
Angola,AGO,0.4370792193,0.3333333333,22
Benin,BEN,0.4386647507,0.2083333333,5
Cameroon,CMR,0.5572180814,0.4166666667,17
Cape Verde,CPV,0.3498255887,0.1666666667,5
Comoros,COM,0.2340051775,0.1666666667,2
Congo (Rep),COG,0.4009400802,0.2083333333,8
Djibouti,DJI,0.4790332887,0.25,23
DRC,COD,0.4670905936,0.1666666667,16
Equatorial Guinea,GNQ,0.389833832,0.1666666667,11
Gabon,GAB,0.4305391757,0.3333333333,11
Gambia,GMB,0.4917120302,0.1666666667,9
Ghana,GHA,0.435056072,0.3333333333,14
Guinea,GIN,0.3751814383,0.1666666667,4
Guinea-Bissau,GNB,0.3756707591,0.1666666667,2
Ivory Coast,CIV,0.3606099689,0.2083333333,6
Kenya,KEN,0.5165055334,0.5833333333,7
Liberia,LBR,0.1833169015,0.04166666667,0
Madagascar,MDG,0.2490379718,0.1666666667,8
Mauritius,MUS,0.475250444,0.3333333333,16
Mozambique,MOZ,0.3187464982,0.25,6
Namibia,NAM,0.3650674478,0.3333333333,4
Nigeria,NGA,0.7457113124,0.8333333333,114
Sao Tome,STP,0.3864091629,0.1666666667,2
Senegal,SEN,0.4175410439,0.2916666667,4
Seychelles,SYC,0.3322327322,0.25,8
Sierra Leone,SLE,0.2863302682,0.1666666667,2
Somalia,SOM,0.1197943911,0,0
South Africa,ZAF,0.5904355043,0.9999,10
Tanzania,TZA,0.4266228057,0.3333333333,10
Togo,TGO,0.3888311609,0.2083333333,3
